2025-07-27 21:12:20,835 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:20,836 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:21,398 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:21,486 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:21,602 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:22,344 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:22,364 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:22,974 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:24,743 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 21:12:25,790 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
